program2,code2,prgdesc1,finalgrades,academicopportunities3,seats9ge3,rank,dense_rank
School of Journalism and Media Studies,Q16B,"Program dedicated to fostering interest in the legal field. Open to wide range of academic performance levels. Students will engage in a sequence of history courses in topics including civil, criminal, and constitutional law. They will also participate in activities such as mock trial and law internships.",9-12,"Mock Trial, Senior Thesis, Creative Writing, Play Production, Media Studies, Band, Orchestra, Chorus, Guitar",118.0,1,1
Arts and Technology for Current Students,Q31K,"Opportunities in the arts, career education, athletics, college classes, trips, and conferences.",6-12,Year-long introductory courses in Arts and Technology for ninth graders; Student Government Association,,1,1
Performance and Production,X38B,"Set design, costume design and construction, sound and light design and technology",9-12,"Advisory, Academic support in PM School and Tutoring, Regents Prep, College Prep, SAT Prep, Career Development Internships",,1,1
,,,9-12,"At the end of their four years of study, students take the Arts Exit Exam allowing them to earn an Arts Endorsed Diploma.",,1,1
,,,9-12,"Double literacy and mathematics classes, Collins Writing, Culture of Respect and Responsibility, Advisories",,1,1
,,Admission to this Specialized High School is based solely on the score obtained on the Specialized High Schools Admission Test (SHSAT). Students should speak to their guidance counselors in the Fall to register for the SHSAT.,9-12,CUNY College Now; Course offerings vary each year based on student interest,,1,1
,,,6-12,,,1,1
,,,9-12,"Electives, After-School Activities, Internships, Involvement with community organizations, Make the Road New York, College Prep",,1,1
,,,9-12,Mini term twice a year for 11th and 12th grade academic electives (Intersession),,1,1
,,Portfolio-based assessment and out-of-school internships.,9-12,"Starting in the 10th grade, students become eligible to apply for college courses",,1,1
,,,9-12,"College Trips, College and Career Counseling",,1,1
,,,9-12,"After completing a ninth grade rotation of all of the arts, students select a major in art, music, dance or drama",,1,1
,,"Develop intellectual and civic leadership through self-discovery and challenge, with an emphasis on writing, public speaking, the arts, technology and community action.",9-12,The New York City Writing Project,,1,1
,,,9-12,"CUNY College Now, International Journalism, Global Art, Digital Photography, Forensics, and Dual Credit Program.",,1,1
,,,6-12,,,1,1
,,,9-12,Culture of Respect and Responsibility,,1,1
,,,6-12,"New York City Connected Learning, PENCIL, SUPA (Syracuse University Project Advancement), College credit bearing courses for advanced students",,1,1
,,,9-12,,,1,1
,,Admission to this Specialized High School is based solely on the score obtained on the Specialized High Schools Admission Test (SHSAT). Students should speak to their guidance counselors in the Fall to register for the SHSAT.,9-12,"LEGO Robotics, For Inspiration and Recognition of Science and Technology (FIRST), Electronics, AutoCAD, Technical Writing, TV Production, Computer Science",,1,1
Production,L53B,"Acting: Students engage in portraying complex characters, scene work, monologues, and improvisation. Dance: Gain introduction to the language of dance, develop improvisational skills and basic choreographic devices, and learn the history and technique of major dance forms. Both of these studies culminate in performances that prepare students for college auditions and contribute to their portfolios.",9-12,"Dance major: Training, history, and techniques of dance culminating in a dance portfolio",,1,1
Pathways College Preparatory School: A College Board School,Q09R,"Program for continuing eighth grade students. Our continuing eighth grade students who meet specific academic requirements will be placed on an accelerated honors track as a Pathways Early College Scholar (PECS), where they will take AP courses starting in the ninth grade, complete all requirements for an advanced high school Regents exam by end of 10th grade, and enroll in college courses in the 11th and 12th grade through Adelphi University.",6-12,"Technology- Software Engineering, MOUSE Squad",,1,1
Teachers of Tomorrow,Q24B,"New York State CTE Certified Nursing Assistant program that includes supervised clinical rotations with training from registered nurses; a developing Sports Medicine program with courses such as Exercise Physiology, Human Anatomy, and Nutrition; AP courses in Biology, Environmental Science; College Now courses (college credit bearing) in Health Professions and Nutrition; Paid and unpaid internships in the health field as well the opportunity to participate in HOSA (future health professionals).",9-12,"Biz-Tek offers CTE Virtual Enterprise as well as CADD/CAM Engineering & Computer Science; Theatre offers acting skills, stagecraft, & film making",58.0,1,1
Spanish Transitional Bilingual,X89B,,9-12,Students in the Spanish Transitional Bilingual program will take classes primarily in English by year three.,,1,1
